year,franchID,Last Year Rank,Last Year Playoff,Last Year W%,Last Year l%,Last Year Points,Last Year GF,Last Year GA,Last Year PIM,EGF,EPPG,EPIM,NewCoach,NumGoalies,EGA,NumPicks,HighPick,Playoff
1971,MTL,3,1,0.294871795,0.538461538,97,307,205,1271,250,61,1059,0,4,214,3,1,1
1988,DAL,5,0,0.6,0.2375,51,258,278,2313,233,80,2231,0,4,345,1,1,1
1989,COL,5,0,0.575,0.3375,61,240,407,2004,252,81,1763,1,7,339,1,1,0
2003,PIT,5,0,0.536585366,0.329268293,65,190,303,1125,179,63,979,0,5,247,1,1,0
2009,NYI,5,0,0.573170732,0.317073171,61,222,264,1216,193,53,1111,0,3,266,2,1,0
2010,EDM,5,0,0.573170732,0.329268293,62,193,269,1133,195,49,1012,0,3,271,1,1,0
1998,TBL,7,0,0.670731707,0.207317073,44,179,292,1823,148,31,1620,1,6,255,1,1,0
1975,PHI,1,1,0.225,0.6375,113,348,209,1969,292,64,1903,0,5,179,1,1,1
1980,MTL,1,1,0.25,0.5875,107,332,232,874,328,77,864,1,4,236,1,1,1
1982,BOS,2,1,0.3375,0.5375,96,327,228,1266,310,65,1244,0,3,282,1,1,1
1983,DAL,2,1,0.3,0.5,96,345,344,1520,312,90,1344,0,4,286,1,1,1
2001,WPG,4,0,0.548780488,0.280487805,60,187,288,1500,204,53,1425,0,5,280,1,1,0
1976,WAS,5,0,0.7375,0.1375,32,221,307,951,207,49,871,0,3,388,2,1,0
1978,DAL,5,0,0.6625,0.225,45,257,289,1096,207,48,916,1,3,324,1,1,0
1987,BUF,5,0,0.55,0.35,64,283,305,1810,264,64,1738,0,3,302,1,1,1
1994,FLO,5,0,0.404761905,0.392857143,83,115,127,1620,232,65,1612,1,2,226,1,1,0
2008,TBL,5,0,0.512195122,0.37804878,71,210,279,1038,208,57,962,1,5,252,1,1,0
1981,PHO,6,0,0.7125,0.1125,32,319,332,1191,215,51,973,0,2,392,1,1,1
1993,OTT,6,0,0.833333333,0.119047619,24,201,397,1716,172,66,1328,0,4,385,1,1,0
1997,BOS,6,0,0.573170732,0.317073171,61,221,194,1369,214,43,1260,0,3,293,2,1,1
1973,NYI,8,0,0.769230769,0.153846154,30,182,247,881,161,27,835,0,3,347,1,1,0
2007,CHI,5,0,0.512195122,0.37804878,71,239,235,1332,168,38,1144,0,3,242,1,1,0
1977,DET,5,0,0.6875,0.2,41,252,266,1332,153,32,1154,0,3,305,1,1,1
1990,COL,5,0,0.7625,0.15,31,236,354,2104,232,69,2004,0,5,397,1,1,0
1991,COL,5,0,0.625,0.2,46,255,318,1741,199,39,1602,1,4,349,1,1,0
2011,EDM,5,0,0.548780488,0.304878049,62,212,239,1270,190,44,1205,1,3,250,2,1,0
1984,PIT,6,0,0.725,0.2,38,276,385,1695,241,70,1490,0,4,378,3,1,0
1985,TOR,5,0,0.65,0.25,48,311,386,1627,249,69,1570,1,4,349,1,1,1
1986,DET,5,0,0.7125,0.2125,40,260,274,2393,265,79,2265,0,4,407,1,1,1
2000,NYI,5,0,0.585365854,0.292682927,58,185,268,1376,177,44,1336,1,4,266,2,1,0
2002,CBS,5,0,0.573170732,0.268292683,57,213,263,1198,154,47,1132,1,2,246,1,1,0
2006,STL,5,0,0.56097561,0.256097561,57,214,254,1373,167,63,1236,1,4,273,2,1,0
1995,OTT,7,0,0.708333333,0.1875,23,191,291,749,105,29,678,1,3,168,1,1,0
1996,OTT,6,0,0.719512195,0.219512195,41,226,234,1553,173,52,1442,0,3,280,1,1,1
2010,BOS,3,1,0.365853659,0.475609756,91,246,195,953,187,44,915,0,2,188,1,2,1
1988,VAN,5,0,0.575,0.3125,59,251,253,2196,243,75,2051,0,3,314,1,2,1
2003,CAR,5,0,0.524390244,0.268292683,61,172,209,1208,168,57,1182,0,3,233,1,2,0
2009,TBL,5,0,0.487804878,0.292682927,66,217,260,1306,201,58,1158,1,3,259,2,2,0
1989,NYI,6,0,0.5875,0.35,61,281,288,1822,252,80,1722,0,2,317,1,2,1
1971,DET,7,0,0.576923077,0.282051282,55,261,262,988,191,44,923,0,3,303,1,2,0
1982,DAL,1,1,0.2875,0.4625,94,321,290,1358,341,89,1299,1,3,283,1,2,1
2001,OTT,1,1,0.256097561,0.585365854,109,243,208,1062,274,71,1035,0,4,198,2,2,1
1981,LAK,2,1,0.3,0.5375,99,314,369,1627,337,90,1591,1,4,286,1,2,1
1976,PIT,3,1,0.4125,0.4375,82,240,252,1004,338,75,880,1,3,298,1,2,1
1994,ANA,4,0,0.547619048,0.392857143,71,229,251,1507,229,54,1463,0,2,241,1,2,0
1999,VAN,4,0,0.573170732,0.280487805,58,227,237,1764,182,56,1677,0,5,253,2,2,0
1975,NJD,5,0,0.675,0.1875,41,190,351,744,163,53,627,1,3,324,1,2,0
1978,WAS,5,0,0.6125,0.2125,48,273,338,1332,170,31,1197,0,4,314,2,2,0
1980,PHO,5,0,0.6125,0.25,51,246,400,1251,180,57,1021,1,5,308,1,2,0
2008,LAK,5,0,0.524390244,0.390243902,71,207,234,954,208,62,837,0,3,253,2,2,0
1987,NJD,6,0,0.5625,0.3625,64,295,296,1735,279,78,1631,1,3,363,1,2,1
1997,SJS,7,0,0.573170732,0.329268293,62,210,216,2085,211,50,1758,0,3,269,2,2,1
2011,COL,4,0,0.536585366,0.365853659,68,208,220,1077,210,49,851,1,2,273,2,2,0
1984,NJD,5,0,0.7,0.2125,41,264,346,1352,214,49,1114,0,3,345,1,2,0
1990,VAN,5,0,0.5125,0.3125,64,243,315,1644,209,53,1352,1,5,295,2,2,1
2007,PHI,5,0,0.585365854,0.268292683,56,248,233,1301,211,52,1215,0,2,288,1,2,1
1979,STL,3,0,0.625,0.225,48,266,278,1055,208,44,829,0,3,341,1,2,1
1986,LAK,5,0,0.6125,0.2875,54,318,341,2004,268,68,1897,0,4,376,1,2,1
2000,WPG,5,0,0.695121951,0.170731707,39,211,289,1422,167,44,1291,0,4,303,1,2,0
2002,WPG,5,0,0.573170732,0.231707317,54,226,284,1290,187,37,1248,1,4,274,2,2,0
2006,PIT,5,0,0.56097561,0.268292683,58,277,246,1559,201,86,1279,0,2,303,1,2,1
1985,PIT,6,0,0.6375,0.3,53,313,305,1493,250,62,1056,0,3,381,1,2,0
1995,NYI,7,0,0.583333333,0.3125,35,229,315,901,125,28,886,0,4,155,1,2,0
1996,SJS,7,0,0.670731707,0.243902439,47,211,278,1480,248,62,1264,1,4,346,2,2,0
1998,SJS,4,1,0.463414634,0.414634146,78,196,191,1417,208,52,1297,0,3,210,1,3,1
2003,FLO,4,0,0.43902439,0.292682927,70,188,221,1127,170,49,1064,1,2,230,2,3,0
1988,COL,5,0,0.5375,0.4,69,269,342,2042,248,93,1914,1,4,301,2,3,0
1989,TOR,5,0,0.575,0.35,62,337,358,1740,246,56,1673,0,4,335,3,3,1
2009,COL,5,0,0.548780488,0.390243902,69,244,233,1062,181,48,1014,0,2,244,1,3,1
2010,FLO,5,0,0.451219512,0.390243902,77,195,229,977,195,43,850,1,3,222,3,3,0
1971,VAN,6,0,0.58974359,0.307692308,56,203,297,1371,211,47,1237,1,3,292,1,3,0
1980,CHI,1,1,0.3375,0.425,87,304,315,1325,222,63,1219,0,2,242,2,3,1
1983,NYI,2,1,0.325,0.525,96,357,269,1266,302,69,1256,0,3,221,2,3,1
1987,BOS,3,1,0.425,0.4875,85,300,251,1870,278,63,1620,0,3,274,2,3,1
1976,DAL,4,0,0.6625,0.25,47,240,310,1191,157,40,887,0,3,302,1,3,1
1978,STL,4,0,0.5875,0.25,53,249,348,845,160,41,668,0,4,300,1,3,0
2008,WPG,4,0,0.487804878,0.414634146,76,257,280,1077,202,52,915,0,3,260,2,3,0
1981,WAS,5,0,0.45,0.325,70,319,338,1872,252,68,1644,1,3,307,1,3,0
1982,TOR,5,0,0.55,0.25,56,293,330,1888,271,55,1712,0,5,373,1,3,1
2001,TBL,5,0,0.573170732,0.292682927,59,178,219,1404,195,52,1257,0,3,268,1,3,0
1993,TBL,6,0,0.642857143,0.273809524,53,224,251,1625,210,62,1517,0,4,325,1,3,0
1997,LAK,6,0,0.524390244,0.341463415,67,227,225,1638,207,46,1525,0,3,259,2,3,1
1973,VAN,7,0,0.602564103,0.282051282,53,224,296,943,226,46,833,0,3,334,2,3,0
1994,OTT,7,0,0.726190476,0.166666667,37,117,174,1710,178,50,1402,0,4,388,1,3,0
1984,CHI,4,1,0.525,0.375,68,309,299,1358,273,67,1301,0,4,304,1,3,1
1977,WAS,4,0,0.525,0.3,62,195,321,1231,215,38,1207,1,3,304,1,3,0
1991,NJD,4,1,0.4125,0.4,79,289,259,2024,268,69,1968,1,4,258,2,3,1
1990,DET,5,0,0.475,0.35,70,273,298,2140,262,53,1754,0,6,317,1,3,1
2007,PHO,5,0,0.56097561,0.37804878,67,214,231,1445,185,61,1309,0,4,277,2,3,0
2011,FLO,5,0,0.487804878,0.365853659,72,203,227,716,176,33,641,1,4,213,1,3,1
1992,SJS,6,0,0.725,0.2125,39,218,414,1894,187,56,1243,1,4,349,2,3,0
1972,VAN,7,0,0.641025641,0.256410256,48,233,339,1092,158,40,691,1,4,294,1,3,0
1995,LAK,4,0,0.479166667,0.333333333,41,256,302,978,140,35,938,0,3,167,1,3,0
2006,CHI,4,0,0.524390244,0.317073171,65,201,258,1544,199,49,1445,0,4,273,1,3,0
2002,FLO,4,0,0.536585366,0.268292683,60,176,237,1994,175,50,1772,0,2,242,2,3,0
